created_at,status_id,user_id,user_name,text,favourites,retweet,source
2021-09-17 12:00:22,1438835214491521026,larrykipz,Global Voice 🇰🇪,RT @Amref_Worldwide: Does #Covid19Vaccine cause impotence? Does the jab lower your libido? Does the vaccine cause infertility? Here are you…,0,17,Twitter for Android
2021-09-17 12:00:14,1438835182920994817,PhillyCEAL,Philly CEAL,"Please share to #VaxUpPhilly #NorthPhilly 
#GetYourVaxx today
Your FREE #covid19vaccine is ready for you at a… https://t.co/YX1Zzq4y3U",3,5,Hootsuite Inc.
2021-09-17 12:00:02,1438835132081721354,VaxHuntersON,Vaccine Hunters Ontario,"Toronto - Born 2009 or earlier - 1st and 2nd dose

September 17th from 7:30pm to 12:30am (September 18th) @ 280 Wel… https://t.co/YdHR1hqOl9",6,2,TweetDeck
2021-09-17 12:00:01,1438835130299129857,VaxHuntersON,Vaccine Hunters Ontario,"Uxbridge - Born 2009 or earlier - 1st and 2nd dose 

September 17th from 10am to 4pm @ Uxbridge Arena &amp; Rec Centre… https://t.co/eGwe8SO0Gg",5,3,TweetDeck
2021-09-17 11:59:46,1438835064511533060,Amref_Kenya,Amref Health Africa in Kenya,RT @Amref_Worldwide: Does #Covid19Vaccine cause impotence? Does the jab lower your libido? Does the vaccine cause infertility? Here are you…,0,17,Twitter for Android
2021-09-17 11:56:34,1438834259121278976,MusyokaKenn,kennedy musyoka,RT @Amref_Worldwide: Does #Covid19Vaccine cause impotence? Does the jab lower your libido? Does the vaccine cause infertility? Here are you…,0,17,Twitter for Android
2021-09-17 11:54:45,1438833803083067395,Amref_Worldwide,Amref Health Africa,Does #Covid19Vaccine cause impotence? Does the jab lower your libido? Does the vaccine cause infertility? Here are… https://t.co/DamV4MfTXe,36,17,Twitter for Android
2021-09-17 11:54:39,1438833777799798786,Valentinewrite_,Valentine,"RT @MartyMakary: Poor countries rationing their limited vax supply right now should learn from the mistakes of U.S. public health leaders
h…",0,160,Twitter for Android
2021-09-17 11:52:56,1438833346973372422,rosewellflower,The Rose,"RT @ndtv: “Our goal is to administer 1 crore vaccines a day. We all know how important #COVID19Vaccine is for India, we've been through a t…",0,8,Twitter for Android
2021-09-17 11:52:48,1438833310541631497,raphael7058,raphael,"RT @ndtv: “Our goal is to administer 1 crore vaccines a day. We all know how important #COVID19Vaccine is for India, we've been through a t…",0,8,Twitter Web App
2021-09-17 11:51:50,1438833067855007744,nevilleskynews,Neville Lazarus,"#COVID19Vaccine #CovidVaccines  #India vaccinates 20 million Indians by 1700 hours today, and its still counting. A… https://t.co/TVU6oReFuD",0,0,Twitter Web App
2021-09-17 11:51:21,1438832948455878659,touristpk,iftikhar Baqir,"RT @ndtv: “Our goal is to administer 1 crore vaccines a day. We all know how important #COVID19Vaccine is for India, we've been through a t…",0,8,Twitter for Android
2021-09-17 11:50:06,1438832633048285189,CaringFriendsH2,Caring Friends Health Services LLC.,"All licensed vaccines are extremely effective in preventing severe cases of Covid-19.
REGISTER &amp; VACCINATED&gt;… https://t.co/qQIiTOHn6O",1,0,Twitter Web App
2021-09-17 11:49:56,1438832589175881733,jatinde55345952,Jatinder Singh جتندر سنگھ,"RT @ndtv: “Our goal is to administer 1 crore vaccines a day. We all know how important #COVID19Vaccine is for India, we've been through a t…",0,8,Twitter Web App
